ANTdriftrate,Percdriftrate,LearningAcc,SymSpn
0.35333857,0.047924037,85,26
0.189481643,0.069286364,63.75,32
0.260432024,0.024662194,58.75,30
0.237488806,0.107818481,66.25,42
0.141715313,0.172541156,82.5,7
0.285013442,0.116373187,51.25,33
0.338669889,0.052119042,51.25,26
0.288026385,0.055529704,75,26
0.37897986,0.179713999,57.5,25
0.255534374,0.083441456,53.75,28
0.25263932,0.110929199,45,18
0.292224696,0.124193649,68.75,36
0.245198002,0.098257004,77.5,10
0.38486842,0.093447774,66.25,36
0.214654036,0.17351802,53.75,24
0.372348578,0.106565942,65,32
0.276038471,0.062612042,43.75,29
0.331905043,0.14334211,81.25,36
0.204603116,0.077949842,66.25,27
0.217244483,0.061256527,51.25,22
0.190960743,0.049670559,76.25,27
0.32219051,0.14811448,67.5,28
0.169125445,0.055455868,83.75,30
0.224830074,0.123740612,65,13
0.306377551,0.114542643,81.25,27
0.340666002,0.119828178,61.25,11
0.254270796,0.133251737,76.25,28
0.285372249,0.18526526,78.75,35
0.299430214,0.130154979,80,42
0.372644434,0.180187641,76.25,22
0.277185163,0.136885119,53.75,25
0.207259162,0.048729944,73.75,15
0.274165308,0.11669661,48.75,23
0.287168044,0.144220231,68.75,42
0.231545831,0.145764356,91.25,42
0.272202614,0.082412553,61.25,17
0.01623434,0.067201261,81.25,10
0.239875664,0.111126638,47.5,42
0.26134355,0.092936969,56.25,19
0.246530219,0.059643867,71.25,21
0.068881623,0.070036544,58.75,21
0.334102233,0.186660093,62.5,24
0.240476873,0.106135042,67.5,24
0.261068061,0.198520199,78.75,34
0.340740903,0.139976695,71.25,34
0.335553256,0.145709535,55,41
0.268943984,0.106002731,63.75,38
0.216297573,0.159835357,67.5,39
0.28263873,0.085890172,72.5,25
0.277157859,0.002480541,55,27
0.31551798,0.131690662,67.5,30
0.275690362,0.097281526,77.5,26
0.275603485,0.076677686,50,22
0.354255548,0.045487701,75,11
0.222533429,0.095992025,71.25,29
0.370302328,0.061958982,67.5,20
0.283743056,0.158558475,73.75,34
0.323363843,0.105259711,63.75,22
0.333745983,0.126477174,86.25,27
0.311555425,0.110128706,58.75,12
0.302567887,0.114032771,70,25
0.234334932,0.12837747,83.75,19
0.302055222,0.066754213,68.75,23
0.291714219,0.052340223,72.5,33
0.3158766,0.136438939,88.75,22
0.295087604,0.151077467,83.75,32
0.326251728,0.097304129,62.5,31
0.164925609,0.039152038,62.5,11
0.387540262,0.113429409,72.5,37
0.39491598,0.159925863,85,27
0.245867984,0.108149538,61.25,20
0.266296417,0.065854977,87.5,36
0.306985181,0.119401638,67.5,27
